ven,afr
"vhaongi vha zwifuwo vha u tou thoma kha ḽa afrika tshipembe vho ṱhaphudza ngudo dzavho allison cooper u vha muṅwe wa vha ongi vha zwifuwo vha u thoma kha ḽino shango ndi muḽoro wo wedzaho kha mudzulapo wa randburg ane a vha phu melela mthimkhulu (21), ane lufuno lwa zwifuwo khae lwo thoma a tshe muṱuku.
","suidafrika se eerste veeartsenykundige verpleegsters kry graad allison cooper om een van die land se eerste veeartsenykundige verpleegsters te wees, is n droom wat waar geword het vir die randburgse inwoner, phumelela mthimkhulu (21), wat al sedert haar kinderdae passievol oor diere is.
"
"mthimkhulu u kha ḓi tou bva u ṱhaphudza ngudo dzawe dza bachelor of veterinary nursing fhaḽa yunivesithi ya pretoria (up), ine ya vha yone i yoṱhe i pfumbudzaho vhaongi vha zwifuwo kha ḽa afrika tshipembe.
","mthimkhulu het onlangs aan die universiteit van pre toria (up) gegradueer, wat die enigste opleidingsinstansie in sa met n baccalaureusgraad in veeartsenykundige verpleging is.
"
"""a zwi athu tou nwelela zwavhuḓi kha nṋe.
","""dit is nog moeilik om te glo.
"
"u ḓivha zwauri ndo vha tshipiḓa tsha kiḽasi ya u thoma u gudela digirii, ine yo dzhia miṅwaha minzhi u i khunyeledza, ndi zwithu zwa nṱhesa.
","om te weet dat ek deel was van die eerste klas om die baccalaureusgraad te voltooi, wat jare geneem het om saamgestel te word, is n eer.
"
"""""ndi khou livhuwa zwikhala na mavothi zwine zwa ḓo vulea kha riṋe vhaongi u isa pfunzo dzashu phanḓa khathihi na u pfumbudzwa lwa tshipentshela kha buḓo ḽashu, zwe zwa vha zwi tshi konḓa u zwi ita tshifhinga tsho fhiraho, u ralo.
","""ek is dankbaar vir die geleenthede en deure wat vir ons as verpleegsters gaan oopgaan om verder te studeer en in ons beroep te spesialiseer, wat voor heen baie moeilik was om te doen,"" sê sy.
"
"""vho tamarin fisher, muphuresidennde wa dzangano ḽa vhaongi vha zwifuwo kha ḽa afrika tshipembe, vha ri heḽi ndi ḽiga ḽa vhuṱhogwa kha ḓivhazwakale ya buḓo heḽi lwa miṅwaha ya 42 yo fhiraho tshe ḽa vha hone.
","tamarin fisher, die pre sident van die vereniging van veeartsenykundige ver pleegsters van suidafrika, sê dit is die grootste mylpaal in die beroep se geskiedenis van 42 jaar.
"
"""digirii iyi ntswa ya miṅwaha miraru i ḓo ṋetshedza vhaongi vho ṱhaphudzaho pfunzo tshi khala tsha uri vha ḓiṅwalisele u isa pfunzo dzavho phanḓa, zwine ra fulufhela uri zwi ḓo swikisa kha uri vha swikelele digirii dza honours, masters khathihi na phd.
","""die nuwe drie jaargraad sal aan gekwalifiseerde ver pleegsters die geleentheid bied om vir nagraadse kursusse in te skryf, wat hopelik sal kulmineer in die verkryging van n honneurs, meestersof phdgrade.""
"
"""vhaongi vha zwifuwo vha onga mbonzhe khathihi na malwadze kha zwifuwo, u fana na zwine dokotela a ṋetshedza dzilafho ḽa muta kalo kha vhathu.
","veeartse behandel diere se beserings en siektes op dieselfde wyse as wat n dokter gesondheidsorg aan mense verskaf.
"
"vhaongi vha zwifuwo ndi vha ndeme kha sia heḽi ḽa zwifuwo, u ralo mthimkhulu.
","veeartsenykundige verpleegsters is noodsaaklike rolspelers in n veearts se professionele span, sê mthimkhulu.
"
"""tshiṅwe tsha zwikili zwa ndeme tshine muongi a tea u tshi sumbedzisa ndi ndondolo ya mulwadze, u davhidzana na vhathu, u thusa avho vha re kha buḓo ḽa zwifuwo nga maitele, kha thihi na zwiṅwevho zwine zwa nga thusa vhuongelo uvho ha zwifuwo uri vhu shume zwavhuḓisa.
","""sommige van die belangrikste gebiede waarop n verpleegster moet funksioneer, is pasiëntsorg, kommunikasie met kliënte, hulpverlening aan veeartse met prosedures en allerhande ander dinge wat daartoe bydra dat n veeartsenykundige hospitaal op sy beste funksioneer.
"
"""ndi ḽiṅwe ḽa mabuḓo a fushaho vhukuma.
","""dit is een van die mees bevredigende beroepe.
"
